Mean,Variance,Kurtosis,Condition
-0.000189966,0.00168679,1.623744625,Healthy
0.000147276,0.001528598,1.719799703,Healthy
-0.000379672,0.001696961,1.683256904,Healthy
0.000185568,0.001608303,1.637761398,Healthy
8.6122E-05,0.001753592,1.656321826,Healthy
-0.000206075,0.001640593,1.583148258,Healthy
8.52515E-06,0.001489258,1.501336141,Healthy
7.3395E-05,0.001673636,1.708168658,Healthy
-0.000286928,0.001643109,1.531056871,Healthy
0.000100864,0.001524015,1.631252444,Healthy
-0.000113279,0.001537848,1.757520914,Healthy
0.000228753,0.001436152,1.626361021,Healthy
0.000295831,0.001557542,1.741593493,Healthy
0.000258918,0.001566336,1.840961225,Healthy
-0.000235479,0.00140543,1.622727184,Healthy
1.39786E-05,0.001464176,1.73836241,Healthy
-8.35342E-05,0.001458421,1.913571058,Healthy
0.000140831,0.001739025,1.450572498,Healthy
0.000325524,0.001673207,1.481391346,Healthy
9.02999E-05,0.00147303,1.609276287,Healthy
-0.000277811,0.001784738,1.572504878,Healthy
3.43819E-05,0.0016359,1.615976768,Healthy
-0.000347889,0.001661787,1.774815657,Healthy
3.83167E-06,0.001796567,1.452772308,Healthy
-7.90919E-05,0.001609408,1.956789966,Healthy
-0.000252674,0.001664218,1.51936669,Healthy
-5.00832E-05,0.001676044,1.4949762,Healthy
0.000135253,0.001555949,1.779556071,Healthy
-0.000260571,0.001850291,1.472745819,Healthy
3.1626E-05,0.001868496,1.512422655,Healthy
0.000212029,0.001633579,1.870361077,Healthy
-0.000138565,0.001594623,1.526786008,Healthy
3.74323E-05,0.001733209,1.571587191,Healthy
-5.15807E-05,0.001829044,1.40712465,Healthy
-0.000131043,0.00174576,1.655148028,Healthy
0.000151543,0.001885475,1.459353898,Healthy
-0.000119668,0.001641792,1.352784389,Healthy
-0.000343927,0.001548836,1.584117961,Healthy
-0.000285128,0.00183052,1.772669085,Healthy
-0.000457346,0.001751094,1.677106526,Healthy
-8.41004E-05,0.001392464,1.911593836,Healthy
-0.000133944,0.001634833,1.830240553,Healthy
-9.44527E-05,0.001612121,1.489717468,Healthy
-0.000199358,0.001579194,1.672142078,Healthy
0.000445438,0.001852445,1.800461447,Healthy
0.000347956,0.001694127,1.680607134,Healthy
-5.15826E-06,0.001793206,1.431485591,Healthy
-0.00021187,0.001729647,1.539624076,Healthy
-0.000153018,0.001969046,1.21534654,Healthy
6.36894E-05,0.002081952,1.370945607,Healthy
0.000454602,0.002427059,1.199935982,Healthy
8.311E-05,0.001933434,1.632600391,Healthy
5.08615E-05,0.002171728,1.360272959,Healthy
7.72053E-05,0.002244316,1.524736285,Healthy
-3.57401E-06,0.002225231,1.242711082,Healthy
0.000106935,0.002133287,1.491814572,Healthy
0.000344122,0.002002725,1.387834802,Healthy
-0.000542632,0.00181854,1.422437462,Healthy
-0.000306122,0.001859168,1.323267553,Healthy
